16_Labels_DEV_QA_Lapine.pem	44.228.98.184	16_Labels_DEV_QA_Lapine
Crown_Royal_USA_PROD_Lapine.pem	54.202.81.0	Crown_Royal_USA_PROD_Lapine
Custom_Shipping_Rate_App1_Lapine.pem	52.33.83.122	Custom_Shipping_Rate_App1_PROD_Lapine
Shopify-Apps.pem	52.40.245.87	Custom_Shipping_Rate_PROD_Lapine
CSS_PROD_Lapine.pem	44.238.2.190	Customer_Portal_PROD_Lapine
Customer_Vendor_Portal_DEV_QA_UAT_Lapine.pem	35.166.67.102	Customer_Vendor_Portal_DEV_QA_UAT_Lapine_New
CSS_VendorPRP_DEV_Lapine.pem	35.155.136.238	Customer_Vendor_Portal_DEV_QA_UAT_Lapine_Old
DB_Notification_Lapine.pem	52.34.89.58	DB_Notification_Lapine
Development1_Multiple_Projects_Lapine.pem	54.213.79.152	Development1_Multiple_Projects_Lapine
DFWS_DEV_QA_UAT_V8_Lapine.pem	52.26.20.190	DFWS_Spark_DEV_QA_UAT_Lapine
DFWS_PROD_Lapine.pem	52.43.233.5	DFWS_Spark_PROD_Lapine
Diageo_DEV_lapine.pem	54.212.24.212	Diageo_DEV_Lapine
Diageo_Spark_DEV_QA_UAT_Lapine.pem	54.149.110.152	Diageo_Spark_DEV_QA_UAT_Lapine
Diageo_Spark_PROD_Lapine.pem	54.71.83.46	Diageo_Spark_PROD_Lapine
DYB_PROD_Lapine.pem	50.112.65.87	DYB_PROD_Lapine
ECP_DEV.pem	44.237.196.36	ECP_DEV_Effectus
ECP.pem	44.230.45.39	ECP_PROD_Effectus
ECP_PromoCMS_PROD_Effectus.pem	44.224.78.112	ECP_PromoCMS_PROD_Effectus
ECP_QA.pem	44.235.21.132	ECP_QA_Effectus
ECP_UAT.pem	44.242.67.137	ECP_UAT_Effectus
Engage_DEV_UAT_Effectus.pem	34.218.199.159	Engage_DEV_UAT_Effectus
Engage_Prod.pem	44.246.67.50	Engage_PROD_Effectus
Ignitors_PreProd_Lapine.pem	54.69.163.106	Ignitors_PROD_Lapine
LISP_DEV_QA_UAT_Lapine.pem	52.42.253.237	LISP_DEV_QA_UAT_Lapine
LISP_PROD_adm.pem	16.146.196.183	LISP_PROD_adm
LISP_PROD_Lapine.pem	44.226.91.215	LISP_PROD_Lapine
Lone_River_Diageo_DEV_QA_Lapine.pem	54.188.31.42	Lone_River_Diageo_DEV_QA_Lapine
Lone_River_PROD_Lapine.pem	44.238.166.5	Lone_River_PROD_Lapine
Mastercard_B2C_DEV_QA_UAT_Lapine.pem	54.188.140.116	Mastercard_B2C_DEV_QA_UAT_PREPROD_Lapine
Mastercard_B2C_PROD_Lapine.pem	52.39.98.53	Mastercard_B2C_PROD_Lapine
Mastercard_DEV_QA_UAT_V8_New_Lapine.pem	44.231.255.135	Mastercard_DEV_QA_UAT_PREPROD_Lapine
MasterCard_Prod.pem	54.189.104.201	Mastercard_Spark_PROD_Lapine
Mr_Black_DEV_QA_Lapine.pem	34.209.83.230	Mr_Black_DEV_QA_Lapine
Mr_Black_Prod_Lapine.pem	52.27.107.83	Mr_Black_PROD_Lapine
NYU_Appreciation_2025_DEV_QA_UAT_PREPROD_Lapine.pem	34.208.70.140	NYU_Appreciation_2025_DEV_QA_UAT_PREPROD_Lapine
NYU_Appreciation_2025_PROD_Lapine.pem	34.209.84.168	NYU_Appreciation_2025_PROD_Lapine
NYULH_Spark_DEV_QA_UAT_Lapine.pem	44.234.210.89	NYULH_Spark_DEV_QA_UAT_Lapine
NYULH_Spark_PREPROD_Lapine.pem	54.203.242.15	NYULH_Spark_PREPROD_Lapine
NYULH_Spark_PROD_Lapine.pem	52.37.118.189	NYULH_Spark_PROD_Lapine
OpenVPN-PROD.pem	54.218.238.64	OpenVPN_PROD
Pepsi_Commet_Store_DEV_QA_UAT_Lapine.pem	52.24.93.210	Pepsi_Commet_Store_DEV_QA_UAT_Lapine
Pepsi_Commet_Store_PROD_Lapine.pem	52.26.70.84	Pepsi_Commet_Store_PROD_Lapine
Pepsi_Spark_DEV_QA_UAT_Lapine.pem	35.160.158.82	Pepsi_Spark_DEV_QA_UAT_Lapine
Pepsi_Spark_PREPROD_Lapine.pem	54.203.103.167	Pepsi_Spark_PREPROD_Lapine
Pepsico_Spark_PROD_Lapine.pem	44.225.42.185	Pepsi_Spark_PROD_Lapine
PepsiCo_SPP_PROD_Lapine.pem	35.160.16.123	PepsiCo_SPP_PROD_Lapine
Test-Pune.pem	35.162.138.149	Print_Shopify_BulkOrder(Beta)_Lapine
Print_Shopify_BulkOrder(Live)_Lapine.pem	52.33.237.34	Print_Shopify_BulkOrder(Live)_PROD_Lapine
Print_Shopify_BulkOrder_PROD_adm.pem	35.84.67.238	Print_Shopify_BulkOrder_PROD_adm
Product_Customizer_PROD_adm.pem	44.235.204.29	Product_Customizer_PROD_adm
Product_Customizer_PROD_Lapine.pem	34.214.166.219	Product_Customizer_PROD_Lapine
Sharp.pem	44.238.245.126	Sharp_Shopify_PROD_Lapine
Shipping_API_DEV.pem	35.163.38.226	Shipping_API_DEV_Lapine
Shipping_API_Prod_Lapine.pem	52.89.233.244	Shipping_API_PROD_Lapine
Shop_21_seeds_DEV_QA_Lapine.pem	44.224.157.244	Shop_21_seeds_DEV_QA_Lapine
Shop_21_seeds_PROD_Lapine.pem	54.149.186.192	Shop_21_seeds_PROD_Lapine
Accor_DEV_QA_UAT_PREPROD_Lapine.pem	52.39.46.241	Shop_Accor_DEV_QA_UAT_PREPROD_adm
Shop_Accor_PROD_adm.pem	16.145.35.215	Shop_Accor_PROD_adm
Shop_Atlassian_DEV_QA_UAT_PREPROD_adm.pem	52.39.155.38	Shop_Atlassian_DEV_QA_UAT_PREPROD_adm
Shop_Atlassian_PROD_adm.pem	44.225.147.107	Shop_Atlassian_PROD_adm
ShopHub_Template_DEV_QA_UAT_V8_Lapine.pem	52.40.255.8	Shop_DFWSOW_DEV_QA_UAT_Lapine
Shop_DFWSOW_PREPROD_V8_Lapine.pem	35.81.238.126	Shop_DFWSOW_PREPROD_Lapine
Shop_DFWSOW_PROD_Lapine.pem	34.215.220.190	Shop_DFWSOW_PROD_Lapine
Shop_Marriot_DEV_QA_UAT_PREPROD_Lapine.pem	44.230.220.212	Shop_Marriot_DEV_QA_UAT_PREPROD_Lapine
Shop_Marriot_PROD_adm.pem	34.209.171.197	Shop_Marriot_PROD_adm
Shop_NYU_DEV_QA_UAT_Lapine.pem	52.25.125.42	Shop_NYU_Internal_DEV_QA_Lapine
Shop_NYU_PROD_Lapine.pem	35.167.235.56	Shop_NYU_Internal_PROD_Lapine
Shop_NYU_DEV_QA_UAT_Lapine.pem	34.223.154.140	Shop_NYU_Internal_UAT_PREPROD_Lapine
Shop_SPP_DEV_QA_UAT_PREPROD_Lapine.pem	54.69.204.176	Shop_PepsiCo_SPP_DEV_QA_UAT_Lapine
Shop_PepsiCo_SPP_PREPROD_Lapine.pem	44.226.195.239	Shop_PepsiCo_SPP_PREPROD_Lapine
Shop_PepsiCo_SPP_PROD_adm.pem	44.236.252.137	Shop_PepsiCo_SPP_PROD_adm
STC_Store_DEV_QA_UAT_Lapine.pem	44.224.70.212	Shop_STC_Store_DEV_QA_UAT_Lapine
Shop_STC_Store_PROD_Lapine.pem	54.212.152.0	Shop_STC_Store_PROD_Lapine
Shophub_Base_UAT_Lapine.pem	52.13.199.205	Shophub_Base_UAT_Lapine
ShopHub_Template_DEV_QA_UAT_V8_Lapine.pem	34.213.23.200	ShopHub_Template_DEV_QA_UAT_Lapine
ShopHub_Template_PROD_Lapine.pem	52.89.235.160	ShopHub_Template_PROD_Lapine
Solutions_DEV_QA_adm.pem	54.201.162.4	Solutions_DEV_QA_adm
Solutions_PROD_adm.pem	54.200.139.84	Solutions_PROD_adm
SPBC_DEV_QA_UAT_V8_Lapine.pem	52.26.233.229	SPBC_DEV_QA_UAT_Lapine
ssconnecctor_Lapine_Pune.pem	52.32.222.197	SS_Connector_PREPROD_Lapine
Brief_Spark_PROD_Lapine.pem	34.208.173.211	STC_Spark_PROD_Lapine
STC_Prod.pem	52.12.62.194	STC_Store_PROD_Lapine
Uber_Spark_DEV_QA_UAT_Lapine.pem	34.218.133.84	Uber_Spark_DEV_QA_UAT_Lapine
Uber_Spark_PREPROD_Lapine.pem	54.70.173.218	Uber_Spark_PREPROD_Lapine
Uber_Spark_PROD_Lapine.pem	52.39.161.120	Uber_Spark_PROD_Lapine
Shop_Uber_DEV_QA_UAT_Lapine.pem	34.214.154.3	Uber_Swag_DEV_QA_UAT_Lapine
Uber_Swag_PROD_Lapine.pem	35.164.205.239	Uber_Swag_PROD_Lapine
VendorPortal_NEW_PROD_Lapine.pem	44.240.218.169	Vendor_Portal_PROD_Lapine
Viatris_Spark_DEV_QA_UAT_PREPROD_Lapine.pem	44.235.230.113	Viatris_Spark_DEV_QA_UAT_PREPROD_Lapine
Viatris_Spark_PROD_Lapine.pem	52.12.226.226	Viatris_Spark_PROD_Lapine
VMMT_PROD_Lapine.pem	54.218.160.215	VMMT_PROD_adm
Website_PROD_Effectus_New.pem	44.227.207.62	Website_PROD_Effectus
